_RAJ2000,_DEJ2000,HIP,RAhms,DEdms,Vmag,RAICRS,DEICRS,Plx,pmRA,pmDE,e_Plx,B-V,Notes,_RA_icrs,_DE_icrs,recno
135.3405011059,-28.3245833543,44302,09 01 21.72,-28 19 28.5,8.31,135.34051019,-28.32457808,1.94,-3.29,-2.17,1.18,0.036,,135.34050111,-28.32458335,44269
136.5277832079,-54.9039574061,44664,09 06 06.68,-54 54 14.3,8.76,136.52782823,-54.90397092,3.5,-10.65,5.56,0.99,0.02,D,136.52778321,-54.90395741,44631
136.7780786587,46.6726009032,44746,09 07 06.80,+46 40 21.7,8.99,136.77831659,46.67269815,8.26,-67.17,-40.01,1.33,0.627,,136.77807866,46.6726009,44713
137.5238398349,75.6108816711,45012,09 10 05.60,+75 36 39.2,9.39,137.52333926,75.61090238,16.16,51.18,-8.52,1.13,0.693,,137.52383983,75.61088167,44980
139.4807694294,-3.3872504021,45621,09 17 55.37,-03 23 13.5,7.78,139.4807061,-3.38709035,30.5,26.01,-65.85,1.07,0.869,,139.48076943,-3.3872504,45588
140.5959575099,-6.0606191046,45961,09 22 23.06,-06 03 38.4,7.33,140.59607581,-6.06065549,8.08,-48.4,14.97,1.02,0.234,,140.59595751,-6.0606191,45928
141.8237190861,-50.356741564,46369,09 27 17.71,-50 21 24.4,10.36,141.82380305,-50.35678563,3.36,-22.04,18.13,4.56,0.568,,141.82371909,-50.35674156,46336
142.5212923663,-51.5171641379,46594,09 30 05.13,-51 31 01.9,5.45,142.5213665,-51.51719294,7.85,-18.98,11.85,0.49,-0.078,,142.52129237,-51.51716414,46561
143.3177150293,9.1684839697,46885,09 33 16.26,+09 10 06.7,8.43,143.31775873,9.16851931,4.82,-17.75,-14.54,1.57,-0.2,,143.31771503,9.16848397,46852
144.023866135,-51.7446728007,47116,09 36 05.74,-51 44 40.9,8.05,144.02392596,-51.74468245,3.08,-15.24,3.97,1.06,-0.02,,144.02386613,-51.7446728,47083
144.5556055731,23.5469222675,47288,09 38 13.39,+23 32 49.3,7.87,144.55577372,23.54702316,13.38,-63.42,-41.51,1.09,0.498,,144.55560557,23.54692227,47256
144.7737485002,-45.4262143108,47371,09 39 05.72,-45 25 34.4,9.12,144.77381766,-45.42622379,5.34,-19.97,3.9,1.39,0.666,D,144.7737485,-45.42621431,47338
146.7247286221,-4.2980707567,47990,09 46 53.96,-04 17 52.7,8.69,146.72483599,-4.29796809,15.09,-44.05,-42.24,1.22,0.663,,146.72472862,-4.29807076,47955
147.2215122587,8.9743074083,48146,09 48 53.15,+08 58 28.0,9.57,147.22146681,8.97445645,13.99,18.47,-61.32,1.56,0.498,,147.22151226,8.97430741,48111
149.1243525111,-24.0993895837,48739,09 56 29.96,-24 05 58.2,7.93,149.12482212,-24.09950314,23.54,-176.37,46.72,0.85,0.647,,149.12435251,-24.09938958,48704
151.6278479671,3.4746539729,49508,10 06 30.72,+03 28 29.4,7.94,151.6279826,3.4748219,13.81,-55.29,-69.09,1.23,0.493,,151.62784797,3.47465397,49471
151.7083229294,-29.9662633175,49531,10 06 50.05,-29 57 57.6,9.22,151.70852426,-29.96598971,11.62,-71.76,-112.57,1.2,0.62,,151.70832293,-29.96626332,49494
151.8070373537,46.1149719804,49576,10 07 13.69,+46 06 54.1,9.31,151.80703809,46.11502922,11.98,-0.21,-23.55,1.44,0.621,,151.80703735,46.11497198,49538
152.1181980379,-50.3073696244,49678,10 08 28.39,-50 18 26.3,10.09,152.11829767,-50.30729943,9.28,-26.18,-28.88,1.33,0.6,,152.11819804,-50.30736962,49641
154.575040329,17.3963947763,50469,10 18 18.08,+17 23 46.9,8.55,154.57533752,17.39637278,15.87,-116.68,9.05,1.09,0.587,,154.57504033,17.39639478,50431
154.6710737032,10.1290280765,50496,10 18 41.05,+10 07 44.9,9.38,154.67106,10.12913033,7.89,5.55,-42.07,1.53,0.842,,154.6710737,10.12902808,50458
154.9491842723,-28.9623586054,50568,10 19 47.78,-28 57 44.5,8.29,154.94907282,-28.96236422,9.42,40.12,2.31,0.98,0.629,,154.94918427,-28.96235861,50530
155.5978752653,-28.8476189574,50807,10 22 23.49,-28 50 51.7,9.44,155.59789,-28.84769569,24.11,-5.31,31.57,1.23,0.955,,155.59787527,-28.84761896,50769
